Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
di saat semua cowok usaha lacak perhati gue kamu lantas remeh perhati yang gue kasih khusus ke kamu basic kamu cowok,1,1,1,0,0,0,0,0,1,1,0,0
siapa yang telat beri tau kamu gue gaul dengan cigax jifla cal sama siapa itu licew juga,0,1,0,0,0,0,0,0,0,0,0,0
41 kadang aku pikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh kali kali kadang aku rasa tuhan itu tinggal aku sendiri ketika orang tua rencana pisah ketika kakak lebih pilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
aku itu aku dan ku tau mata tapi lihat dari mana itu aku,0,0,0,0,0,0,0,0,0,0,0,0
kaum sudah lihat dongok dari awal tambah lagi haha,1,1,0,1,1,0,0,0,0,0,1,0
ya dan kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilih kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
gue baru saja selesai re watch aldnoah zero paling memang akhir 2 karakter utama cowok kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
nah admin belanja satu lagi po baik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak me uaku taipan 2 depan kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
enak lagi kalau sambil,0,1,0,0,0,0,0,0,0,0,0,0
tidak gue punya jari tengah buat kamu belum gue ukur nyali sama kamu,1,1,1,0,0,0,0,0,1,1,0,0
kaleng malu tidak bisa jawab pe anyaan kami dari 2 hari lalu nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
kalau ajar ekonomi mesti jago privatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0
aktor huru hara 98 prabowo si ingin lengser perintah jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
bu guru enak jadi atau guru sekolah dasar sih kayak nikmat jadi ini guru,1,1,1,0,0,0,0,1,0,1,0,0
lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing gue aku hadis nabi dan itu sahih kayak kamu pasti tolak makanya kamu ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
belakang ini kok pikir banget ya,0,0,0,0,0,0,0,0,0,0,0,0
ari sama bek adalah rapi,0,1,0,0,0,0,0,0,0,0,0,0
jadi cowok itu harus gantle kalau tidak gantle itu nama,1,1,0,1,0,0,0,1,0,0,1,0
alga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0
ya tapi gue jarang ambek takut wkwk gue kan budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
kalau kamu pasti peluang sakit nya lebih gede sih,0,0,0,0,0,0,0,0,0,0,0,0
joko widodo nilai bagai presiden lemah dalam sejarah indonesia hal ini jadi bukan saja karena jokowi tidak milik modal dukung politik yang cukup lain juga karena ketidakmampuan perintah hadap situasi ekonomi tidak,0,0,0,0,0,0,0,0,0,0,0,0
ajar sama camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0
bandara udara internasional ke ajati bangun oleh gubernur ahmad heryawan tanpa guna anggar dapat dan belanja negara perintah pusat insya allah siap operasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0
siapa gubernur dan presiden rakyat ya kita juga,0,0,0,0,0,0,0,0,0,0,0,0
ini sih kerja delay mulu,1,1,0,1,0,0,0,0,1,0,1,0
turut pintu sorga ada yaitu pintu sorga yang asli dan pintu hati modus banget,0,0,0,0,0,0,0,0,0,0,0,0
partai indonesia hanya muncul jika jelang pilih kepala daerah dan pilih presiden karena goreng sampai gosong,1,0,0,1,0,1,0,0,0,0,1,0
itu adalah sudah nenek nenek saya heran sama biasa bohong terus,1,1,1,0,0,0,0,0,1,1,0,0
islam nusantara produk jil pasar dengan gencar oleh jil dan sementara jil anti arab tapi pro dan kata almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
dari habis sahur sampai jam 10 si bayi sudah empat kali sekarang rasa lemas tak kira,0,0,0,0,0,0,0,0,0,0,0,0
tidak kak emak adalah tidak suka sama yang wkwk,0,0,0,0,0,0,0,0,0,0,0,0
laku jaman now saja sambil live di blued video gvid lokal hangat uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
tidak kak gue bukan orang jawa maaf ya gue orang palembang soal kakak saja deh yang ajar aksara jawa atau kelak mau ajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
pegawai guardian training lagi kayak mentang mentang gue kayak cuma kaos sama flat shoes tanya dijutekin memang malas beli juga kabur gue ke matahari,1,1,0,1,0,0,0,0,1,0,1,0
para yang telah luka lady harus terima ganjar ratus kali lipat sanji selamat ulang tahun laut jkt48,0,1,0,0,0,0,0,0,0,0,0,0
aja tolak berita hoaks dan sukses pilih kepala daerah di wilayah kota diri,0,0,0,0,0,0,0,0,0,0,0,0
presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat sama jokowi,0,0,0,0,0,0,0,0,0,0,0,0
memang tuju fabiano,0,1,0,0,0,0,0,0,0,0,0,0
tidak pernah dalam al alquran ya bang pantas saja mulut kayak orang farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0
sangat lihat beda sekali wibawa yang sangat wibawa cuma gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0,0,0,0
baru kali ini lihat orang mau debat pilih kepala daerah kerja serang karakter kecewa on kamu empok silvy and agus debat final pilih kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0
gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama itu sungguh kaya kita tutur djarot di hadap pese a rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantara mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0
cipta situasi aman dan tertib masyarakat jelang pilih kepala daerah 2018 kepala polisi sektor konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
positif kok nse positif respon masyarakat hadap dan cangkul impor dan garam impor dan beras impor dan jagung impor dan tenaga kerja impor dan esemka impor dan nurl,0,0,0,0,0,0,0,0,0,0,0,0
kata sembahyang adopsi tradisi lokal pada masa kerja hindu dan istilah sembahyang pun lahir dari tradisi ritus menyembahhyang yang tunggal sama dengan salat sembah all,0,0,0,0,0,0,0,0,0,0,0,0
kamu didik tinggi tapi tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi pilih ahok,1,1,1,0,0,0,0,0,1,1,0,0
ahok the best abai kaum otak micin,1,1,0,1,0,0,0,0,1,0,1,0
sih otak tempurung adalah tidak usah di laden makin di lawan makin belum dan dan kalau tidak begitu dia tidak makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
awaasss jangan sampai berita sampai ke saudara gerung nanti susah cari kosakata kalau bocor saja picing mata bibir monyong samping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu b ini pulang sambil ky nhn ngeden,1,1,1,0,0,0,1,0,0,1,0,0
